Generation #0
100010011010 - value: 23, fitness: 23, weight: 190
000010101100 - value: 23, fitness: 23, weight: 170
010110010000 - value: 23, fitness: 23, weight: 200
101000110000 - value: 23, fitness: 23, weight: 140
001001100001 - value: 22, fitness: 22, weight: 220
010000010111 - value: 22, fitness: 22, weight: 160
010000101100 - value: 22, fitness: 22, weight: 150
110000101011 - value: 22, fitness: 22, weight: 230
000100111010 - value: 22, fitness: 22, weight: 240
100000100111 - value: 22, fitness: 22, weight: 150
000111000000 - value: 22, fitness: 22, weight: 210
000110000100 - value: 22, fitness: 22, weight: 160
101100000001 - value: 22, fitness: 22, weight: 230
010010011010 - value: 22, fitness: 22, weight: 200
011001000000 - value: 22, fitness: 22, weight: 160
010000101100 - value: 22, fitness: 22, weight: 150
101100000001 - value: 22, fitness: 22, weight: 230
110100001000 - value: 22, fitness: 22, weight: 210
010001001011 - value: 21, fitness: 21, weight: 250
010000001111 - value: 21, fitness: 21, weight: 200
010000001111 - value: 21, fitness: 21, weight: 200
000010010101 - value: 21, fitness: 21, weight: 160
000001110011 - value: 21, fitness: 21, weight: 210
101000010010 - value: 21, fitness: 21, weight: 130
011000101000 - value: 21, fitness: 21, weight: 190
000001101011 - value: 20, fitness: 20, weight: 250
111000000001 - value: 20, fitness: 20, weight: 170
000001000110 - value: 20, fitness: 20, weight: 110
101000010001 - value: 20, fitness: 20, weight: 170
000001101011 - value: 20, fitness: 20, weight: 250
000100001100 - value: 20, fitness: 20, weight: 180
000011001001 - value: 20, fitness: 20, weight: 250
110001000000 - value: 20, fitness: 20, weight: 120
010010101000 - value: 19, fitness: 19, weight: 180
010010101000 - value: 19, fitness: 19, weight: 180
001000110010 - value: 19, fitness: 19, weight: 140
001000110010 - value: 19, fitness: 19, weight: 140
000001101010 - value: 19, fitness: 19, weight: 190
011000010001 - value: 19, fitness: 19, weight: 180
000001101010 - value: 19, fitness: 19, weight: 190
001100100000 - value: 19, fitness: 19, weight: 180
010000010100 - value: 19, fitness: 19, weight: 80
010000001101 - value: 19, fitness: 19, weight: 180
110000101000 - value: 19, fitness: 19, weight: 150
010110000000 - value: 18, fitness: 18, weight: 170
110000100011 - value: 18, fitness: 18, weight: 160
110000100011 - value: 18, fitness: 18, weight: 160
011000100000 - value: 17, fitness: 17, weight: 120
110000100010 - value: 17, fitness: 17, weight: 100
000100000101 - value: 17, fitness: 17, weight: 170
001000011000 - value: 17, fitness: 17, weight: 160
010010100010 - value: 17, fitness: 17, weight: 130
110000100010 - value: 17, fitness: 17, weight: 100
000010101011 - value: 17, fitness: 17, weight: 230
000000010111 - value: 17, fitness: 17, weight: 130
001100000010 - value: 17, fitness: 17, weight: 170
110000100001 - value: 16, fitness: 16, weight: 140
100010100000 - value: 16, fitness: 16, weight: 100
101000000001 - value: 15, fitness: 15, weight: 140
100100000010 - value: 15, fitness: 15, weight: 130
100000110000 - value: 15, fitness: 15, weight: 80
100000110000 - value: 15, fitness: 15, weight: 80
101000000001 - value: 15, fitness: 15, weight: 140
100100000010 - value: 15, fitness: 15, weight: 130
010000101010 - value: 15, fitness: 15, weight: 150
001000010010 - value: 15, fitness: 15, weight: 110
110000100000 - value: 15, fitness: 15, weight: 80
000000001110 - value: 15, fitness: 15, weight: 110
110000000011 - value: 14, fitness: 14, weight: 130
001000010001 - value: 14, fitness: 14, weight: 150
010001000000 - value: 14, fitness: 14, weight: 100
000010101000 - value: 14, fitness: 14, weight: 150
010000110000 - value: 14, fitness: 14, weight: 90
010000110000 - value: 14, fitness: 14, weight: 90
010100000010 - value: 14, fitness: 14, weight: 140
000100010001 - value: 13, fitness: 13, weight: 180
000000001100 - value: 13, fitness: 13, weight: 90
100100000000 - value: 13, fitness: 13, weight: 110
000100010001 - value: 13, fitness: 13, weight: 180
010010000010 - value: 13, fitness: 13, weight: 100
100100000000 - value: 13, fitness: 13, weight: 110
010000100011 - value: 12, fitness: 12, weight: 140
010010000001 - value: 12, fitness: 12, weight: 140
000000110010 - value: 11, fitness: 11, weight: 80
000100001000 - value: 11, fitness: 11, weight: 160
010010000000 - value: 11, fitness: 11, weight: 80
000000000011 - value: 3, fitness: 3, weight: 80
010101100110 - value: 36, fitness: -64, weight: 260
010101100110 - value: 36, fitness: -64, weight: 260
010001110111 - value: 35, fitness: -65, weight: 260
110100101100 - value: 35, fitness: -65, weight: 260
110101010010 - value: 34, fitness: -66, weight: 260
110111000000 - value: 33, fitness: -67, weight: 260
110011010001 - value: 32, fitness: -68, weight: 260
110001110011 - value: 32, fitness: -68, weight: 260
011100110010 - value: 31, fitness: -69, weight: 260
101011000001 - value: 30, fitness: -70, weight: 260
101011000001 - value: 30, fitness: -70, weight: 260
011010101010 - value: 29, fitness: -71, weight: 260
000111010010 - value: 29, fitness: -71, weight: 260
010011100011 - value: 27, fitness: -73, weight: 260
100100001011 - value: 20, fitness: -80, weight: 260
101010110101 - value: 39, fitness: -161, weight: 270
001001110101 - value: 36, fitness: -164, weight: 270
101101100000 - value: 34, fitness: -166, weight: 270
101101100000 - value: 34, fitness: -166, weight: 270
101100000111 - value: 33, fitness: -167, weight: 270
110001001011 - value: 27, fitness: -173, weight: 270
100011001001 - value: 26, fitness: -174, weight: 270
111011010100 - value: 48, fitness: -252, weight: 280
001011000111 - value: 35, fitness: -265, weight: 280
000101101010 - value: 26, fitness: -274, weight: 280
111001010101 - value: 43, fitness: -357, weight: 290
100110100111 - value: 35, fitness: -365, weight: 290
011100101100 - value: 37, fitness: -463, weight: 300
001101000011 - value: 27, fitness: -473, weight: 300
111001010111 - value: 45, fitness: -555, weight: 310
100100011111 - value: 34, fitness: -566, weight: 310
000111011000 - value: 31, fitness: -569, weight: 310
110111000001 - value: 34, fitness: -666, weight: 320
011010101011 - value: 30, fitness: -670, weight: 320
011101010001 - value: 35, fitness: -865, weight: 340
Generation #2
111001010110 - value: 44, fitness: 44, weight: 250
111001010110 - value: 44, fitness: 44, weight: 250
110001110110 - value: 40, fitness: 40, weight: 220
100011110100 - value: 39, fitness: 39, weight: 220
101001010110 - value: 39, fitness: 39, weight: 220
100011110100 - value: 39, fitness: 39, weight: 220
100011110100 - value: 39, fitness: 39, weight: 220
001001110110 - value: 37, fitness: 37, weight: 230
001001110110 - value: 37, fitness: 37, weight: 230
111000101100 - value: 36, fitness: 36, weight: 230
100011010101 - value: 36, fitness: 36, weight: 250
111000101100 - value: 36, fitness: 36, weight: 230
111010000101 - value: 35, fitness: 35, weight: 240
111100000100 - value: 35, fitness: 35, weight: 220
111000010110 - value: 35, fitness: 35, weight: 180
111010000100 - value: 34, fitness: 34, weight: 180
001011000110 - value: 34, fitness: 34, weight: 220
100011001100 - value: 34, fitness: 34, weight: 230
001011000110 - value: 34, fitness: 34, weight: 220
011000110111 - value: 34, fitness: 34, weight: 250
010001110110 - value: 34, fitness: 34, weight: 200
001011000110 - value: 34, fitness: 34, weight: 220
011010100110 - value: 34, fitness: 34, weight: 210
110001001100 - value: 33, fitness: 33, weight: 210
100100011110 - value: 33, fitness: 33, weight: 250
110010010110 - value: 33, fitness: 33, weight: 170
111001010000 - value: 33, fitness: 33, weight: 210
110001001100 - value: 33, fitness: 33, weight: 210
110010010110 - value: 33, fitness: 33, weight: 170
000011110100 - value: 33, fitness: 33, weight: 200
101011100000 - value: 33, fitness: 33, weight: 230
110010010110 - value: 33, fitness: 33, weight: 170
101010001100 - value: 33, fitness: 33, weight: 220
111100010010 - value: 33, fitness: 33, weight: 250
000011110100 - value: 33, fitness: 33, weight: 200
000011110100 - value: 33, fitness: 33, weight: 200
101001000100 - value: 32, fitness: 32, weight: 170
111000001100 - value: 32, fitness: 32, weight: 200
001011000100 - value: 32, fitness: 32, weight: 200
110010010101 - value: 32, fitness: 32, weight: 210
110010010101 - value: 32, fitness: 32, weight: 210
100110100100 - value: 32, fitness: 32, weight: 210
101001000100 - value: 32, fitness: 32, weight: 170
111010010010 - value: 32, fitness: 32, weight: 210
100110100100 - value: 32, fitness: 32, weight: 210
100110100100 - value: 32, fitness: 32, weight: 210
111010010010 - value: 32, fitness: 32, weight: 210
001100010110 - value: 31, fitness: 31, weight: 220
001100010110 - value: 31, fitness: 31, weight: 220
001100010110 - value: 31, fitness: 31, weight: 220
011001000100 - value: 31, fitness: 31, weight: 180
001011010010 - value: 30, fitness: 30, weight: 230
111100100000 - value: 30, fitness: 30, weight: 230
001011010010 - value: 30, fitness: 30, weight: 230
111010010000 - value: 30, fitness: 30, weight: 190
011000101100 - value: 30, fitness: 30, weight: 210
001001100100 - value: 30, fitness: 30, weight: 180
100010101100 - value: 29, fitness: 29, weight: 190
011010000101 - value: 29, fitness: 29, weight: 220
001010100110 - value: 29, fitness: 29, weight: 180
110110010000 - value: 29, fitness: 29, weight: 220
010010011100 - value: 29, fitness: 29, weight: 200
100100010110 - value: 29, fitness: 29, weight: 180
011100110000 - value: 29, fitness: 29, weight: 240
101011000000 - value: 29, fitness: 29, weight: 200
010010011100 - value: 29, fitness: 29, weight: 200
111001000001 - value: 29, fitness: 29, weight: 240
110110010000 - value: 29, fitness: 29, weight: 220
011100110000 - value: 29, fitness: 29, weight: 240
110000101100 - value: 28, fitness: 28, weight: 170
100010001111 - value: 28, fitness: 28, weight: 240
011001001010 - value: 28, fitness: 28, weight: 250
001011010000 - value: 28, fitness: 28, weight: 210
111000110000 - value: 28, fitness: 28, weight: 170
010110000101 - value: 28, fitness: 28, weight: 250
111001000000 - value: 28, fitness: 28, weight: 180
010110000101 - value: 28, fitness: 28, weight: 250
000101000110 - value: 27, fitness: 27, weight: 200
010001001100 - value: 27, fitness: 27, weight: 190
001000110101 - value: 27, fitness: 27, weight: 200
001000011101 - value: 27, fitness: 27, weight: 240
110101000000 - value: 27, fitness: 27, weight: 210
110000100111 - value: 27, fitness: 27, weight: 180
000111010000 - value: 27, fitness: 27, weight: 240
100010010101 - value: 27, fitness: 27, weight: 180
000101000110 - value: 27, fitness: 27, weight: 200
100010010101 - value: 27, fitness: 27, weight: 180
000101000110 - value: 27, fitness: 27, weight: 200
000010110110 - value: 26, fitness: 26, weight: 150
000001101100 - value: 26, fitness: 26, weight: 190
110010110000 - value: 26, fitness: 26, weight: 160
110000111010 - value: 26, fitness: 26, weight: 200
010011100010 - value: 26, fitness: 26, weight: 200
110000100110 - value: 26, fitness: 26, weight: 120
101010010001 - value: 26, fitness: 26, weight: 220
100000011110 - value: 26, fitness: 26, weight: 160
010010010101 - value: 26, fitness: 26, weight: 190
100110010010 - value: 26, fitness: 26, weight: 210
010011100010 - value: 26, fitness: 26, weight: 200
100010100101 - value: 26, fitness: 26, weight: 180
101010010001 - value: 26, fitness: 26, weight: 220
000110100100 - value: 26, fitness: 26, weight: 190
011001001000 - value: 26, fitness: 26, weight: 230
110000111010 - value: 26, fitness: 26, weight: 200
111000010010 - value: 26, fitness: 26, weight: 160
110010110000 - value: 26, fitness: 26, weight: 160
110000001101 - value: 25, fitness: 25, weight: 200
111000010001 - value: 25, fitness: 25, weight: 200
101000110010 - value: 25, fitness: 25, weight: 160
010000011110 - value: 25, fitness: 25, weight: 170
111010000000 - value: 25, fitness: 25, weight: 160
110000001101 - value: 25, fitness: 25, weight: 200
001010101010 - value: 24, fitness: 24, weight: 230
100110010000 - value: 24, fitness: 24, weight: 190
000001001110 - value: 24, fitness: 24, weight: 180
100110100001 - value: 24, fitness: 24, weight: 250
110000100100 - value: 24, fitness: 24, weight: 100
010011100000 - value: 24, fitness: 24, weight: 180
100000101101 - value: 24, fitness: 24, weight: 200
110100001010 - value: 24, fitness: 24, weight: 230
001101000000 - value: 24, fitness: 24, weight: 220
010011100000 - value: 24, fitness: 24, weight: 180
111000010000 - value: 24, fitness: 24, weight: 140
000001001110 - value: 24, fitness: 24, weight: 180
